timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1593440742933,14,TCP Sampler,200,OK,Thread Group 1-1,text,true,,230,0,1,1,null,13,0,1
1593440742948,14,TCP Sampler,200,OK,Thread Group 1-1,text,true,,230,0,1,1,null,13,0,0
1593440742963,16,TCP Sampler,200,OK,Thread Group 1-1,text,true,,230,0,1,1,null,14,0,0
1593440742979,15,TCP Sampler,200,OK,Thread Group 1-1,text,true,,230,0,1,1,null,14,0,1
1593440742994,15,TCP Sampler,200,OK,Thread Group 1-1,text,true,,230,0,1,1,null,14,0,1
1593440743010,16,TCP Sampler,200,OK,Thread Group 1-1,text,true,,230,0,1,1,null,15,0,0
1593440743027,15,TCP Sampler,200,OK,Thread Group 1-1,text,true,,230,0,1,1,null,14,0,0
1593440743043,14,TCP Sampler,200,OK,Thread Group 1-1,text,true,,230,0,1,1,null,13,0,0
1593440743058,20,TCP Sampler,200,OK,Thread Group 1-1,text,true,,230,0,1,1,null,19,0,0
1593440743530,15,TCP Sampler,200,OK,Thread Group 1-2,text,true,,230,0,1,1,null,14,0,1
1593440743546,29,TCP Sampler,200,OK,Thread Group 1-2,text,true,,230,0,1,1,null,14,0,1
1593440743576,16,TCP Sampler,200,OK,Thread Group 1-2,text,true,,230,0,1,1,null,14,0,1
1593440743593,100,TCP Sampler,200,OK,Thread Group 1-2,text,true,,230,0,1,1,null,19,0,1
1593440743694,23,TCP Sampler,200,OK,Thread Group 1-2,text,true,,230,0,1,1,null,21,0,0
1593440743718,17,TCP Sampler,200,OK,Thread Group 1-2,text,true,,230,0,1,1,null,16,0,0
1593440743736,11,TCP Sampler,200,OK,Thread Group 1-2,text,true,,230,0,1,1,null,9,0,1
1593440743748,15,TCP Sampler,200,OK,Thread Group 1-2,text,true,,230,0,1,1,null,13,0,1
1593440743764,15,TCP Sampler,200,OK,Thread Group 1-2,text,true,,230,0,1,1,null,13,0,1
1593440743779,14,TCP Sampler,200,OK,Thread Group 1-2,text,true,,230,0,1,1,null,13,0,1
1593440743794,16,TCP Sampler,200,OK,Thread Group 1-2,text,true,,230,0,1,1,null,15,0,0
1593440743810,15,TCP Sampler,200,OK,Thread Group 1-2,text,true,,230,0,1,1,null,13,0,1
1593440743825,18,TCP Sampler,200,OK,Thread Group 1-2,text,true,,230,0,1,1,null,17,0,1
1593440743844,11,TCP Sampler,200,OK,Thread Group 1-2,text,true,,230,0,1,1,null,10,0,0
1593440743856,15,TCP Sampler,200,OK,Thread Group 1-2,text,true,,230,0,1,1,null,14,0,0
1593440743871,16,TCP Sampler,200,OK,Thread Group 1-2,text,true,,230,0,1,1,null,14,0,1
1593440743887,17,TCP Sampler,200,OK,Thread Group 1-2,text,true,,230,0,1,1,null,14,0,1
1593440743904,15,TCP Sampler,200,OK,Thread Group 1-2,text,true,,230,0,1,1,null,13,0,1
1593440743919,16,TCP Sampler,200,OK,Thread Group 1-2,text,true,,230,0,1,1,null,14,0,0
1593440743935,15,TCP Sampler,200,OK,Thread Group 1-2,text,true,,230,0,1,1,null,14,0,1
1593440743950,15,TCP Sampler,200,OK,Thread Group 1-2,text,true,,230,0,1,1,null,14,0,0
1593440743966,14,TCP Sampler,200,OK,Thread Group 1-2,text,true,,230,0,1,1,null,13,0,0
1593440743981,14,TCP Sampler,200,OK,Thread Group 1-2,text,true,,230,0,1,1,null,13,0,1
1593440743995,18,TCP Sampler,200,OK,Thread Group 1-2,text,true,,230,0,1,1,null,16,0,1
1593440744014,13,TCP Sampler,200,OK,Thread Group 1-2,text,true,,230,0,1,1,null,12,0,0
1593440744028,16,TCP Sampler,200,OK,Thread Group 1-2,text,true,,230,0,1,1,null,14,0,0
1593440744044,15,TCP Sampler,200,OK,Thread Group 1-2,text,true,,230,0,1,1,null,12,0,1
1593440744060,18,TCP Sampler,200,OK,Thread Group 1-2,text,true,,230,0,1,1,null,17,0,0
1593440744079,9,TCP Sampler,200,OK,Thread Group 1-2,text,true,,230,0,1,1,null,7,0,0
1593440744089,14,TCP Sampler,200,OK,Thread Group 1-2,text,true,,230,0,1,1,null,13,0,0
1593440744522,12,TCP Sampler,200,OK,Thread Group 1-3,text,true,,230,0,1,1,null,10,0,0
1593440744535,30,TCP Sampler,200,OK,Thread Group 1-3,text,true,,230,0,1,1,null,28,0,0
1593440744566,14,TCP Sampler,200,OK,Thread Group 1-3,text,true,,230,0,1,1,null,12,0,0
1593440744580,16,TCP Sampler,200,OK,Thread Group 1-3,text,true,,230,0,1,1,null,14,0,1
1593440744596,16,TCP Sampler,200,OK,Thread Group 1-3,text,true,,230,0,1,1,null,14,0,1
1593440744612,14,TCP Sampler,200,OK,Thread Group 1-3,text,true,,230,0,1,1,null,12,0,1
1593440744626,15,TCP Sampler,200,OK,Thread Group 1-3,text,true,,230,0,1,1,null,13,0,0
1593440744642,13,TCP Sampler,200,OK,Thread Group 1-3,text,true,,230,0,1,1,null,12,0,1
1593440744656,15,TCP Sampler,200,OK,Thread Group 1-3,text,true,,230,0,1,1,null,13,0,0
1593440744671,15,TCP Sampler,200,OK,Thread Group 1-3,text,true,,230,0,1,1,null,14,0,1
1593440744687,16,TCP Sampler,200,OK,Thread Group 1-3,text,true,,230,0,1,1,null,14,0,1
1593440744703,14,TCP Sampler,200,OK,Thread Group 1-3,text,true,,230,0,1,1,null,13,0,0
1593440744717,16,TCP Sampler,200,OK,Thread Group 1-3,text,true,,230,0,1,1,null,15,0,1
1593440744734,14,TCP Sampler,200,OK,Thread Group 1-3,text,true,,230,0,1,1,null,12,0,0
1593440744748,15,TCP Sampler,200,OK,Thread Group 1-3,text,true,,230,0,1,1,null,14,0,1
1593440744763,17,TCP Sampler,200,OK,Thread Group 1-3,text,true,,230,0,1,1,null,15,0,1
1593440744780,15,TCP Sampler,200,OK,Thread Group 1-3,text,true,,230,0,1,1,null,14,0,1
1593440744796,17,TCP Sampler,200,OK,Thread Group 1-3,text,true,,230,0,1,1,null,14,0,0
1593440744813,13,TCP Sampler,200,OK,Thread Group 1-3,text,true,,230,0,1,1,null,11,0,0
1593440744827,13,TCP Sampler,200,OK,Thread Group 1-3,text,true,,230,0,1,1,null,12,0,0
1593440744841,16,TCP Sampler,200,OK,Thread Group 1-3,text,true,,230,0,1,1,null,14,0,1
1593440744857,17,TCP Sampler,200,OK,Thread Group 1-3,text,true,,230,0,1,1,null,14,0,1
1593440744874,13,TCP Sampler,200,OK,Thread Group 1-3,text,true,,230,0,1,1,null,11,0,0
1593440744888,16,TCP Sampler,200,OK,Thread Group 1-3,text,true,,230,0,1,1,null,14,0,0
1593440744905,12,TCP Sampler,200,OK,Thread Group 1-3,text,true,,230,0,1,1,null,11,0,0
1593440744918,16,TCP Sampler,200,OK,Thread Group 1-3,text,true,,230,0,1,1,null,15,0,0
1593440744935,13,TCP Sampler,200,OK,Thread Group 1-3,text,true,,230,0,1,1,null,12,0,0
1593440744949,17,TCP Sampler,200,OK,Thread Group 1-3,text,true,,230,0,1,1,null,16,0,0
1593440744967,13,TCP Sampler,200,OK,Thread Group 1-3,text,true,,230,0,1,1,null,11,0,0
1593440744980,19,TCP Sampler,200,OK,Thread Group 1-3,text,true,,230,0,1,1,null,17,0,1
1593440745525,11,TCP Sampler,200,OK,Thread Group 1-4,text,true,,230,0,1,1,null,10,0,1
1593440745536,31,TCP Sampler,200,OK,Thread Group 1-4,text,true,,230,0,1,1,null,30,0,1
1593440745568,16,TCP Sampler,200,OK,Thread Group 1-4,text,true,,230,0,1,1,null,15,0,0
1593440745585,16,TCP Sampler,200,OK,Thread Group 1-4,text,true,,230,0,1,1,null,15,0,0
1593440745602,13,TCP Sampler,200,OK,Thread Group 1-4,text,true,,230,0,1,1,null,12,0,0
1593440745615,14,TCP Sampler,200,OK,Thread Group 1-4,text,true,,230,0,1,1,null,12,0,1
1593440745629,15,TCP Sampler,200,OK,Thread Group 1-4,text,true,,230,0,1,1,null,14,0,0
1593440745645,14,TCP Sampler,200,OK,Thread Group 1-4,text,true,,230,0,1,1,null,13,0,1
1593440745660,15,TCP Sampler,200,OK,Thread Group 1-4,text,true,,231,0,1,1,null,14,0,0
1593440745675,15,TCP Sampler,200,OK,Thread Group 1-4,text,true,,231,0,1,1,null,14,0,0
1593440745691,16,TCP Sampler,200,OK,Thread Group 1-4,text,true,,231,0,1,1,null,14,0,0
1593440745708,12,TCP Sampler,200,OK,Thread Group 1-4,text,true,,231,0,1,1,null,11,0,0
1593440745721,16,TCP Sampler,200,OK,Thread Group 1-4,text,true,,231,0,1,1,null,14,0,0
1593440745737,14,TCP Sampler,200,OK,Thread Group 1-4,text,true,,231,0,1,1,null,13,0,0
